type,path,expected_size,actual_size,expected_hash,actual_hash,status
METRICS,hydrology/water_table_depth/water_table_depth_annual_mean_2016.json,311,311,5c998b5ff08e9d733b24a7f8efa0ab9be8a98315c38620c9a97d2aeb911c334d,5c998b5ff08e9d733b24a7f8efa0ab9be8a98315c38620c9a97d2aeb911c334d,PASSED
IMAGE,hydrology/water_table_depth/01_water_table_depth_annual_mean_2016.png,469562,469562,9520a731449f5e4f10f1f0e561145d284f5069f1e3d5c68b68e3811367737428,9520a731449f5e4f10f1f0e561145d284f5069f1e3d5c68b68e3811367737428,PASSED
IMAGE,hydrology/water_table_depth/03_water_table_depth_domain_mean_timeseries_2016.png,662850,662850,f6767be4be8caa107da655d796a17395ce51dc57c4d1a4d3235b78434f77139d,f6767be4be8caa107da655d796a17395ce51dc57c4d1a4d3235b78434f77139d,PASSED
OTHER,hydrology/water_table_depth/03_water_table_depth_domain_mean_timeseries_2016.pdf,20945,20945,d8d171a2cff9e6be779459a8f136bfbadab2334ef169974bfca2c5c5ff6571ff,d8d171a2cff9e6be779459a8f136bfbadab2334ef169974bfca2c5c5ff6571ff,PASSED
METRICS,hydrology/water_table_depth/water_table_depth_differences_2016.json,309,309,8af172e8c36a508121d38c2dbfe752a23dac30fc24cd383f91359d1b6b2d965f,8af172e8c36a508121d38c2dbfe752a23dac30fc24cd383f91359d1b6b2d965f,PASSED
IMAGE,hydrology/water_table_depth/water_table_depth_domain_mean_timeseries_2016.png,226911,226911,a9ffc47ea5f40fe968b655a2968c8813240716d2730419f95fb42f056663c77a,a9ffc47ea5f40fe968b655a2968c8813240716d2730419f95fb42f056663c77a,PASSED
IMAGE,hydrology/water_table_depth/water_table_depth_annual_mean_2016.png,167268,167268,bb2a56d5f3ef5b47788e1eb2675abfa7b2f2cf51e7a1a8ddf9fadafad79c0014,bb2a56d5f3ef5b47788e1eb2675abfa7b2f2cf51e7a1a8ddf9fadafad79c0014,PASSED
METRICS,hydrology/water_table_depth/water_table_depth_domain_mean_timeseries_2016.json,326,326,bc7a53442d63a36d15b3122ed17d53eba7b3eabb937112f596055194c06ad31b,bc7a53442d63a36d15b3122ed17d53eba7b3eabb937112f596055194c06ad31b,PASSED
OTHER,hydrology/water_table_depth/01_water_table_depth_annual_mean_2016.pdf,121624,121624,2f27f09874c5323462494a59b9454e826865fc77e2c37d303a33fb8f5119d557,2f27f09874c5323462494a59b9454e826865fc77e2c37d303a33fb8f5119d557,PASSED
IMAGE,hydrology/water_table_depth/02_water_table_depth_differences_2016.png,652490,652490,a4f3c3b07433e15ac442f60a3b9cc9e8ca96197316d5f4351ab0e6848a984fbd,a4f3c3b07433e15ac442f60a3b9cc9e8ca96197316d5f4351ab0e6848a984fbd,PASSED
